layer triggercelleta triggercellphi triggercellieta triggercelliphi
37.0 -1.7095222473144531 -3.1197757720947266 -9 144
37.0 -1.67747962474823 -3.1197757720947266 -10 144
37.0 -1.6349167823791504 -3.1197757720947266 -11 144
37.0 -1.5924427509307861 -3.1197757720947266 -12 144
37.0 -1.5500643253326416 -3.1197757720947266 -13 144
37.0 -1.5077884197235107 -3.1197757720947266 -14 144
37.0 -1.4762226343154907 -3.1197757720947266 -15 144
37.0 -1.7095222473144531 -3.0761425495147705 -9 143
37.0 -1.6774797439575195 -3.0761425495147705 -10 143
37.0 -1.63491690158844 -3.0761425495147705 -11 143
37.0 -1.5924427509307861 -3.0761425495147705 -12 143
37.0 -1.5500643253326416 -3.0761425495147705 -13 143
37.0 -1.5077884197235107 -3.0761425495147705 -14 143
37.0 -1.4762226343154907 -3.0761425495147705 -15 143
37.0 -1.7095222473144531 -3.0325093269348145 -9 142
37.0 -1.6774797439575195 -3.0325093269348145 -10 142
37.0 -1.63491690158844 -3.0325093269348145 -11 142
37.0 -1.5924427509307861 -3.0325093269348145 -12 142
37.0 -1.5500643253326416 -3.0325093269348145 -13 142
37.0 -1.5077884197235107 -3.0325093269348145 -14 142
37.0 -1.4762226343154907 -3.0325093269348145 -15 142
37.0 -1.7095222473144531 -2.9888761043548584 -9 141
37.0 -1.6774797439575195 -2.9888761043548584 -10 141
37.0 -1.63491690158844 -2.9888761043548584 -11 141
37.0 -1.5924427509307861 -2.9888761043548584 -12 141
37.0 -1.5500643253326416 -2.9888761043548584 -13 141
37.0 -1.5077883005142212 -2.9888761043548584 -14 141
37.0 -1.4762227535247803 -2.9888761043548584 -15 141
37.0 -1.7095222473144531 -2.9452428817749023 -9 140
37.0 -1.6774797439575195 -2.9452428817749023 -10 140
37.0 -1.63491690158844 -2.9452428817749023 -11 140
37.0 -1.5924427509307861 -2.9452428817749023 -12 140
37.0 -1.5500643253326416 -2.9452428817749023 -13 140
37.0 -1.5077884197235107 -2.9452428817749023 -14 140
37.0 -1.4762226343154907 -2.9452428817749023 -15 140
37.0 -1.7095222473144531 -2.9016096591949463 -9 139
37.0 -1.6774797439575195 -2.9016096591949463 -10 139
37.0 -1.63491690158844 -2.9016096591949463 -11 139
37.0 -1.5924427509307861 -2.9016096591949463 -12 139
37.0 -1.5500643253326416 -2.9016096591949463 -13 139
37.0 -1.5077884197235107 -2.9016096591949463 -14 139
37.0 -1.4762227535247803 -2.9016096591949463 -15 139
37.0 -1.7095222473144531 -2.8579764366149902 -9 138
37.0 -1.6774797439575195 -2.8579764366149902 -10 138
37.0 -1.6349167823791504 -2.8579764366149902 -11 138
37.0 -1.5924427509307861 -2.8579764366149902 -12 138
37.0 -1.5500643253326416 -2.8579764366149902 -13 138
37.0 -1.5077884197235107 -2.8579764366149902 -14 138
37.0 -1.4762226343154907 -2.8579764366149902 -15 138
37.0 -1.7095222473144531 -2.814343214035034 -9 137
37.0 -1.67747962474823 -2.814343214035034 -10 137
37.0 -1.63491690158844 -2.814343214035034 -11 137
37.0 -1.5924427509307861 -2.814343214035034 -12 137
37.0 -1.5500643253326416 -2.814343214035034 -13 137
37.0 -1.5077884197235107 -2.814343214035034 -14 137
37.0 -1.4762226343154907 -2.814343214035034 -15 137
37.0 -1.7095222473144531 -2.770709991455078 -9 136
37.0 -1.6774797439575195 -2.770709991455078 -10 136
37.0 -1.63491690158844 -2.770709991455078 -11 136
37.0 -1.5924427509307861 -2.770709991455078 -12 136
37.0 -1.5500643253326416 -2.770709991455078 -13 136
37.0 -1.5077883005142212 -2.770709991455078 -14 136
37.0 -1.4762227535247803 -2.770709991455078 -15 136
37.0 -1.7095222473144531 -2.727076768875122 -9 135
37.0 -1.6774797439575195 -2.727076768875122 -10 135
37.0 -1.6349167823791504 -2.727076768875122 -11 135
37.0 -1.5924427509307861 -2.727076768875122 -12 135
37.0 -1.5500643253326416 -2.727076768875122 -13 135
37.0 -1.5077884197235107 -2.727076768875122 -14 135
37.0 -1.4762227535247803 -2.727076768875122 -15 135
37.0 -1.7095222473144531 -2.683443546295166 -9 134
37.0 -1.6774797439575195 -2.683443546295166 -10 134
37.0 -1.63491690158844 -2.683443546295166 -11 134
37.0 -1.5924428701400757 -2.683443546295166 -12 134
37.0 -1.5500643253326416 -2.683443546295166 -13 134
37.0 -1.5077884197235107 -2.683443546295166 -14 134
37.0 -1.4762227535247803 -2.683443546295166 -15 134
37.0 -1.7095222473144531 -2.63981032371521 -9 133
37.0 -1.6774797439575195 -2.63981032371521 -10 133
37.0 -1.6349167823791504 -2.63981032371521 -11 133
37.0 -1.5924427509307861 -2.63981032371521 -12 133
37.0 -1.5500643253326416 -2.63981032371521 -13 133
37.0 -1.5077884197235107 -2.63981032371521 -14 133
37.0 -1.4762227535247803 -2.63981032371521 -15 133
37.0 -1.7095222473144531 -2.596177101135254 -9 132
37.0 -1.67747962474823 -2.596177101135254 -10 132
37.0 -1.63491690158844 -2.596177101135254 -11 132
37.0 -1.5924427509307861 -2.596177101135254 -12 132
37.0 -1.5500643253326416 -2.596177101135254 -13 132
37.0 -1.5077883005142212 -2.596177101135254 -14 132
37.0 -1.4762227535247803 -2.596177101135254 -15 132
37.0 -1.7095222473144531 -2.552543878555298 -9 131
37.0 -1.6774797439575195 -2.552543878555298 -10 131
37.0 -1.63491690158844 -2.552543878555298 -11 131
37.0 -1.5924427509307861 -2.552543878555298 -12 131
37.0 -1.5500644445419312 -2.552543878555298 -13 131
37.0 -1.5077884197235107 -2.552543878555298 -14 131
37.0 -1.4762227535247803 -2.552543878555298 -15 131
37.0 -1.7095222473144531 -2.508910655975342 -9 130
37.0 -1.67747962474823 -2.508910655975342 -10 130
37.0 -1.6349167823791504 -2.508910655975342 -11 130
37.0 -1.5924427509307861 -2.508910655975342 -12 130
37.0 -1.5500643253326416 -2.508910655975342 -13 130
37.0 -1.5077884197235107 -2.508910655975342 -14 130
37.0 -1.4762226343154907 -2.508910655975342 -15 130
37.0 -1.7095222473144531 -2.4652774333953857 -9 129
37.0 -1.67747962474823 -2.4652774333953857 -10 129
